date,nav,close
20240902,1000000.0,8.905999999999999
20240903,1000000.0,8.876
20240904,1000000.0,8.815999999999999
20240905,1000000.0,8.866
20240906,1000000.0,8.876
20240909,1000000.0,8.645999999999999
20240910,1000000.0,8.695999999999998
20240911,1000000.0,8.446
20240912,1000000.0,8.536
20240913,1000000.0,8.496
20240918,1000000.0,8.565999999999999
20240919,1000000.0,8.606
20240920,1000000.0,8.695999999999998
20240923,1000000.0,8.836
20240924,1000000.0,9.165999999999999
20240925,1000000.0,9.296000000000001
20240926,1000000.0,9.946
20240927,1000000.0,10.216
20240930,1000000.0,11.006
20241008,1000000.0,11.675999999999998
20241009,1000000.0,10.475999999999999
20241010,1000000.0,11.022
20241011,1000000.0,10.762
20241014,1000000.0,11.062000000000001
20241015,1000000.0,10.942
20241016,1000000.0,11.101999999999999
20241017,1000000.0,10.991999999999999
20241018,1000000.0,11.081999999999999
20241021,1000000.0,10.852
20241022,1000000.0,10.832
20241023,1000000.0,10.902
20241024,1000000.0,10.792
20241025,1000000.0,10.751999999999999
20241028,1000000.0,10.681999999999999
20241029,1000000.0,10.581999999999999
20241030,1000000.0,10.362
20241031,1000000.0,10.422
20241101,1000000.0,10.472
20241104,1000000.0,10.501999999999999
20241105,1000000.0,10.692
20241106,1000000.0,10.592
20241107,1000000.0,10.952
20241108,1000000.0,10.762
20241111,1000000.0,10.642000000000001
20241112,1000000.0,10.581999999999999
20241113,1000000.0,10.652000000000001
20241114,1000000.0,10.581999999999999
20241115,1000000.0,10.482
20241118,1000000.0,10.792000000000002
20241119,1000000.0,10.722000000000001
20241120,1000000.0,10.681999999999999
20241121,1000000.0,10.632
20241122,1000000.0,10.322
20241125,1000000.0,10.222
20241126,1000000.0,10.312000000000001
20241127,1000000.0,10.432
20241128,1000000.0,10.382
20241129,1000000.0,10.421999999999999
20241202,1000000.0,10.432
20241203,1000000.0,10.532
20241204,1000000.0,10.502
20241205,1000000.0,10.482
20241206,1000000.0,10.702
20241209,1000000.0,10.712
20241210,1000000.0,10.831999999999999
20241211,1000000.0,10.772
20241212,1000000.0,10.892000000000001
20241213,1000000.0,10.602
20241216,1000000.0,10.611999999999998
20241217,1000000.0,10.572
20241218,1000000.0,10.692
20241219,1000000.0,10.632000000000001
20241220,1000000.0,10.661999999999999
20241223,1000000.0,10.772
20241224,1000000.0,10.902000000000001
20241225,1000000.0,10.962
20241226,1000000.0,10.902
20241227,1000000.0,10.872
20241230,1000000.0,10.991999999999999
20241231,1000000.0,10.742
