stock_code,name,score_breakout,score_trend,score_consolidation,score_volumeprice,score_macd,score_valuation,score_sentiment,score_sector,score_total
603637.SH,,8.0,13.0,15.0,12.0,12.0,7.0,3.5,3.5,74.0
603990.SH,,8.0,13.0,15.0,12.0,12.0,7.0,3.5,3.5,74.0
605376.SH,,0.0,13.0,20.0,12.0,6.0,7.0,3.5,3.5,65.0
600183.SH,,0.0,13.0,15.0,12.0,6.0,7.0,3.5,0.21,56.71
688131.SH,,4.0,13.0,0.0,12.0,12.0,7.0,3.5,3.5,55.0
603931.SH,,0.0,13.0,10.0,12.0,6.0,7.0,3.5,3.5,55.0
605020.SH,,4.0,13.0,0.0,12.0,12.0,7.0,3.5,3.5,55.0
600027.SH,,12.0,13.0,0.0,6.407604261103529,12.0,7.0,3.5,0.28,54.18760426110353
605589.SH,,4.0,13.0,0.0,12.0,12.0,7.0,3.5,0.63,52.13
605186.SH,,0.0,13.0,0.0,12.0,12.0,7.0,3.5,3.5,51.0
603267.SH,,0.0,13.0,0.0,12.0,12.0,7.0,3.5,3.5,51.0
600780.SH,,0.0,13.0,0.0,12.0,12.0,7.0,3.5,3.5,51.0
600888.SH,,0.0,13.0,0.0,12.0,6.0,7.0,3.5,3.5,45.0
688390.SH,,0.0,13.0,0.0,12.0,6.0,7.0,3.5,0.28,41.78
600667.SH,,0.0,13.0,0.0,12.0,6.0,7.0,3.5,0.21,41.71
688508.SH,,0.0,13.0,0.0,12.0,0.0,7.0,3.5,3.5,39.0
603002.SH,,0.0,13.0,0.0,12.0,0.0,7.0,3.5,0.35,35.85
688669.SH,,0.0,0.0,0.0,12.0,6.0,7.0,3.5,3.5,32.0
688677.SH,,0.0,0.0,0.0,12.0,3.0,7.0,3.5,3.5,29.0
