stock_code,date,基本面,技术面,资金面,成长性,估值,情绪面,板块面,风险面,总分,市场系数,最终总分
600027,2023-05-04,9.00,12.82,9.27,9.98,5.05,5.90,3.22,4.40,59.64,1.00,59.64
600027,2024-01-18,9.00,11.60,8.20,9.31,5.05,5.30,3.07,4.94,56.47,0.60,33.88
600027,2025-03-10,9.00,3.85,5.67,7.50,5.05,1.50,2.08,7.00,41.65,1.00,41.65
600667,2023-05-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
600667,2024-01-18,9.00,3.13,9.38,9.39,4.11,4.61,3.20,6.85,49.67,0.60,29.80
600667,2025-03-10,9.00,13.55,4.63,5.50,4.11,1.42,1.60,5.52,45.33,1.00,45.33
603267,2023-05-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
603267,2024-01-18,9.00,1.63,8.30,9.95,3.46,5.37,3.31,5.82,46.84,0.60,28.10
603267,2025-03-10,9.00,12.20,12.00,8.72,3.46,4.64,2.22,2.65,54.89,1.00,54.89
603637,2023-05-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
603637,2024-01-18,9.00,3.96,5.97,9.07,2.01,4.63,3.00,6.49,44.13,0.60,26.48
603637,2025-03-10,9.00,13.48,4.90,5.55,2.01,3.13,2.12,5.88,46.07,1.00,46.07
603990,2023-05-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
603990,2024-01-18,9.00,2.90,7.70,8.28,0.50,4.75,2.82,6.56,42.51,0.60,25.51
603990,2025-03-10,9.00,13.50,6.80,9.67,0.50,3.02,2.76,3.55,48.80,1.00,48.80
