因子,类别,IC均值,IC标准差,ICIR,IC>0占比,样本数
BP,价值,0.06411930148460394,0.13978909641891704,0.4586860000328821,0.63,100
dividend_yield,价值,0.02098933711026663,0.1188591476805462,0.17659000186236382,0.62,100
ROE,质量,0.025463285492402333,0.1595802468639065,0.1595641440141271,0.56,100
EP,价值,0.01811490041399464,0.13219694961005438,0.1370296399987197,0.61,100
grossprofit_margin,质量,0.0018157616011750064,0.08895786530028685,0.020411479019260496,0.5,100
turnover_change,情绪,-0.042452265554594415,0.10877248785796566,-0.39028495523636714,0.35051546391752575,97
momentum_6m,动量,-0.0640673345717748,0.15661301081756693,-0.40908053703408215,0.3829787234042553,94
volatility_60d,情绪,-0.0865970366019962,0.17639204947068274,-0.49093503285355883,0.27835051546391754,97
momentum_3m,动量,-0.07268783187599784,0.1410456983459847,-0.5153495124515941,0.30927835051546393,97
momentum_1m,动量,-0.06901688041369737,0.13158364899980934,-0.5245095491598456,0.31,100
liquidity_avg,情绪,-0.11156219157576387,0.1728422639278158,-0.6454566669084805,0.23,100
